lines: "126"
2024/08/06 125671/455759
2024/08/05 3167719/53129909
2024/08/04 2663887/57396026
2024/08/03 1970951/17901826
2024/08/02 650761/10260025
2024/08/01 282750/2102611
2024/07/31 376014/11143581
2024/07/30 611046/4617356
2024/07/29 1844326/90481350
2024/07/28 1789979/42613429
2024/07/27 4188828/141235873
2024/07/26 4477490/160305392
2024/07/25 970655/29948969
2024/07/24 267126/6903386
2024/07/23 54895/1297055
2024/07/22 26146/548284
2024/07/21 101217/3141190
2024/07/20 98443/1206809
2024/07/19 74118/1193527
2024/07/18 74643/1344749
2024/07/17 134374/1850210
2024/07/16 97383/2533176
2024/07/15 680426/15737246
2024/07/14 145869/2401905
2024/07/13 89864/2065787
2024/07/12 64150/1612489
2024/07/11 107676/1029325
2024/07/10 452695/6248895
2024/07/09 86462/747047
2024/07/08 282937/7167131
2024/07/07 503333/6813760
2024/07/06 520956/7683094
2024/07/05 2375621/48311040
2024/07/04 148964/2864462
2024/07/03 333030/5454138
2024/07/02 215463/3311269
2024/07/01 746930/5903821
2024/06/30 1334034/17774321
2024/06/29 1141999/3756039
2024/06/28 357412/7401277
2024/06/27 114968/2805194
2024/06/26 339134/6765165
2024/06/25 456995/8667426
2024/06/24 148598/2604564
2024/06/23 439602/5107587
2024/06/22 782874/23692545
2024/06/21 940367/8165849
2024/06/20 3674971/11193861
2024/06/19 368242/10517558
2024/06/18 322056/10335731
2024/06/17 590981/20705796
2024/06/16 226971/4497004
2024/06/15 125592/2413654
2024/06/14 121703/2705531
2024/06/13 1667058/6784775
2024/06/12 157116/2363354
2024/06/11 196437/3777230
2024/06/10 3732910/5885853
2024/06/09 185862/4024741
2024/06/08 104699/2030029
2024/06/07 242488/4879252
2024/06/06 219749/5123163
2024/06/05 198775/3911466
2024/06/04 394005/7916306
2024/06/03 552911/17854154
2024/06/02 86028/2109862
2024/06/01 279088/7417951
2024/05/31 139636/5429362
2024/05/30 688875/32509003
2024/05/29 307500/9143656
2024/05/28 142526/1495598
2024/05/27 701870/13345558
2024/05/26 205978/4147219
2024/05/25 190317/4169391
2024/05/24 108934/2527961
2024/05/23 23528/965213
2024/05/22 1/0
2024/05/21 2/0
2024/05/20 2/0
2024/05/19 376396/13003350
2024/05/18 201449/3225847
2024/05/17 57550/970221
2024/05/16 2/0
2024/05/15 48198/2110085
2024/05/14 2/0
2024/05/13 2/0
2024/05/12 262457/7050902
2024/05/11 72451/1215129
2024/05/10 2/0
2024/05/09 17/15
2024/05/08 2/0
2024/05/07 2/0
2024/05/06 1/0
2024/05/05 44736/561749
2024/05/04 129975/3044538
2024/05/03 393119/3104424
2024/05/02 185256/6118265
2024/05/01 159198/4012484
2024/04/30 248152/9286321
2024/04/29 136040/2264504
2024/04/28 84476/2184784
2024/04/27 1817286/31453838
2024/04/26 203787/5051160
2024/04/25 583317/1807944
2024/04/24 329009/6188188
2024/04/23 147041/2810545
2024/04/19 119504/2265220
2024/04/18 46237/527626
2024/04/17 71521/1054892
2024/04/16 185263/2733462
2024/04/15 132978/1934993
2024/04/14 162982/1759426
2024/04/13 102439/1099649
2024/04/12 78999/1084063
2024/04/11 116052/1243871
2024/04/10 238249/3945911
2024/04/09 163763/1576438
2024/04/08 214627/4506962
2024/04/07 142464/2341010
2024/04/06 129276/1613283
2024/04/05 326876/7243191
2024/04/04 767929/14513199
2024/04/03 912028/18678316
2024/04/02 963281/21812590
2024/04/01 127319/2518358
2024/03/31 32950/493329
